0,1,2,3
2016-08-23,11.5509,13.5656,-2.0146
2016-08-22,11.9303,14.0692,-2.1389
2016-08-19,12.6747,14.6039,-1.9293
2016-08-18,13.3151,15.0863,-1.7711
2016-08-17,13.6182,15.5290,-1.9108
2016-08-16,14.2957,16.0067,-1.7110
2016-08-15,15.3669,16.4345,-1.0675
2016-08-12,15.2889,16.7014,-1.4125
2016-08-11,15.5879,17.0545,-1.4666
2016-08-10,15.5657,17.4211,-1.8554
2016-08-09,16.3596,17.8850,-1.5253
2016-08-08,16.4987,18.2663,-1.7676
2016-08-05,16.5228,18.7082,-2.1855
2016-08-04,16.1115,19.2546,-3.1431
2016-08-03,17.2482,20.0404,-2.7922
2016-08-02,18.4949,20.7384,-2.2435
2016-08-01,20.5054,21.2993,-0.7939
2016-07-29,21.3672,21.4978,-0.1306
2016-07-28,21.8753,21.5304,0.3449
2016-07-27,22.5661,21.4442,1.1219
2016-07-26,23.4740,21.1637,2.3102
2016-07-25,24.0265,20.5862,3.4404
2016-07-22,24.4536,19.7261,4.7275
2016-07-21,23.9761,18.5442,5.4319
2016-07-20,24.0218,17.1862,6.8356
2016-07-19,22.9315,15.4773,7.4542
2016-07-18,22.1471,13.6137,8.5333
2016-07-15,20.5071,11.4804,9.0267
2016-07-14,18.6400,9.2237,9.4162
2016-07-13,15.7810,6.8697,8.9113
2016-07-12,13.0550,4.6419,8.4132
2016-07-11,9.4153,2.5386,6.8768
2016-07-08,6.1580,0.8194,5.3386
2016-07-07,2.6501,-0.5153,3.1654
2016-07-06,1.3924,-1.3066,2.6991
2016-07-05,-0.4194,-1.9814,1.5619
2016-07-01,-1.5876,-2.3719,0.7842
2016-06-30,-4.5217,-2.5679,-1.9538
2016-06-29,-7.7845,-2.0795,-5.7051
2016-06-28,-8.9758,-0.6532,-8.3225
2016-06-27,-6.8346,1.4274,-8.2620
2016-06-24,-0.3826,3.4929,-3.8755
2016-06-23,4.1040,4.4618,-0.3577
2016-06-22,2.0419,4.5512,-2.5093
2016-06-21,2.2178,5.1785,-2.9607
2016-06-20,2.0588,5.9187,-3.8599
2016-06-17,2.4011,6.8837,-4.4825
2016-06-16,4.0281,8.0043,-3.9762
2016-06-15,5.3567,8.9984,-3.6416
2016-06-14,7.6355,9.9088,-2.2733
2016-06-13,10.0440,10.4771,-0.4331
2016-06-10,12.5912,10.5854,2.0058
2016-06-09,13.9273,10.0839,3.8434
2016-06-08,13.4538,9.1231,4.3307
2016-06-07,12.2831,8.0404,4.2427
2016-06-06,11.3219,6.9797,4.3422
2016-06-03,10.2074,5.8942,4.3132
2016-06-02,9.6830,4.8159,4.8671
2016-06-01,8.2488,3.5991,4.6497
2016-05-31,6.9019,2.4367,4.4653
2016-05-27,5.3248,1.3204,4.0045
2016-05-26,3.0196,0.3192,2.7004
2016-05-25,0.9456,-0.3559,1.3015
2016-05-24,-1.7601,-0.6812,-1.0788
2016-05-23,-3.7136,-0.4115,-3.3020
2016-05-20,-3.3000,0.4140,-3.7140
2016-05-19,-3.1599,1.3425,-4.5024
2016-05-18,-1.6848,2.4680,-4.1529
2016-05-17,-0.5504,3.5063,-4.0566
2016-05-16,0.9484,4.5204,-3.5720
2016-05-13,0.8672,5.4134,-4.5462
2016-05-12,2.7924,6.5500,-3.7576
2016-05-11,3.4272,7.4894,-4.0622
2016-05-10,4.1519,8.5050,-4.3530
2016-05-09,2.9874,9.5932,-6.6058
2016-05-06,4.0742,11.2447,-7.1704
2016-05-05,5.5600,13.0373,-7.4772
2016-05-04,8.0384,14.9066,-6.8681
2016-05-03,11.0349,16.6236,-5.5887
2016-05-02,13.4517,18.0208,-4.5690
2016-04-29,14.5020,19.1630,-4.6610
2016-04-28,17.2739,20.3283,-3.0544
2016-04-27,19.4905,21.0919,-1.6014
2016-04-26,20.0670,21.4923,-1.4252
2016-04-25,20.8622,21.8486,-0.9863
2016-04-22,21.9719,22.0951,-0.1232
2016-04-21,22.6827,22.1260,0.5568
2016-04-20,23.2703,21.9868,1.2835
2016-04-19,22.5699,21.6659,0.9040
2016-04-18,21.5105,21.4399,0.0707
2016-04-15,20.5033,21.4222,-0.9189
2016-04-14,20.3052,21.6520,-1.3468
2016-04-13,19.5482,21.9886,-2.4404
2016-04-12,18.3344,22.5987,-4.2643
2016-04-11,18.6262,23.6648,-5.0387
2016-04-08,20.7364,24.9245,-4.1881
2016-04-07,22.5571,25.9715,-3.4144
2016-04-06,25.1321,26.8251,-1.6930
2016-04-05,25.5333,27.2484,-1.7151
2016-04-04,27.8619,27.6771,0.1848
2016-04-01,28.2948,27.6309,0.6639
2016-03-31,27.7587,27.4650,0.2937
2016-03-30,27.9983,27.3915,0.6068
2016-03-29,27.4683,27.2398,0.2284
2016-03-28,27.3025,27.1827,0.1197
2016-03-24,28.5223,27.1528,1.3696
2016-03-23,29.7775,26.8104,2.9671
2016-03-22,30.8680,26.0686,4.7994
2016-03-21,30.4781,24.8688,5.6094
2016-03-18,29.3539,23.4664,5.8875
2016-03-17,27.6977,21.9946,5.7031
2016-03-16,26.0962,20.5688,5.5274
2016-03-15,25.0339,19.1869,5.8469
2016-03-14,24.4633,17.7252,6.7382
2016-03-11,23.0016,16.0407,6.9609
2016-03-10,20.5416,14.3004,6.2412
2016-03-09,20.4243,12.7401,7.6842
