timestamp,open,high,low,close,volume,ATR Date,ATR,Boll Date,Boll Mid Band,Boll Upper Band,Boll Lower Band,CCI Date,CCI ,EMA 20 Date,EMA20,MA5 Date,MA5,MA10 Date,MA10,MACD Date,MACD Value,MACD Signal,MACD Hist
11/30/09,1091.0699,1097.24,1086.25,1095.63,3895520000,11/30/09,15.3604,11/30/09,1088.069,1131.1575,1044.9805,11/30/09,39.1554,11/30/09,1091.4447,11/30/09,1101.928,11/30/09,1102.534,11/30/09,9.1649,9.7922,-0.6273
11/27/09,1105.47,1105.47,1083.74,1091.49,2362910000,11/27/09,15.6966,11/27/09,1085.097,1133.5546,1036.6394,11/27/09,41.9954,11/27/09,1091.0042,11/27/09,1101.078,11/27/09,1102.319,11/27/09,10.0129,9.949,0.0639
11/25/09,1106.49,1111.1801,1104.75,1110.63,3036350000,11/25/09,14.8356,11/25/09,1083.828,1132.8752,1034.7808,11/25/09,99.0445,11/25/09,1090.953,11/25/09,1101.76,11/25/09,1101.894,11/25/09,11.3711,9.933,1.4381
11/24/09,1105.83,1107.5601,1097.63,1105.65,3700820000,11/24/09,15.4822,11/24/09,1080.428,1130.9767,1029.8793,11/24/09,84.2978,11/24/09,1088.8818,11/24/09,1101.594,11/24/09,1100.682,11/24/09,10.9905,9.5735,1.417
11/23/09,1094.86,1112.38,1094.86,1106.24,3827920000,11/23/09,15.9092,11/23/09,1078.316,1127.9952,1028.6368,11/23/09,92.3815,11/23/09,1087.1167,11/23/09,1102.528,11/23/09,1099.418,11/23/09,10.852,9.2193,1.6327
11/20/09,1094.66,1094.66,1086.8101,1091.38,3751230000,11/20/09,15.5177,11/20/09,1076.3515,1124.5436,1028.1594,11/20/09,45.0466,11/20/09,1085.1037,11/20/09,1103.14,11/20/09,1098.102,11/20/09,10.4571,8.8111,1.646
11/19/09,1106.4399,1106.4399,1088.4,1094.9,4178030000,11/19/09,16.089,11/19/09,1075.7625,1123.4912,1028.0338,11/19/09,69.9171,11/19/09,1084.443,11/19/09,1103.56,11/19/09,1095.894,11/19/09,11.3141,8.3996,2.9145
11/18/09,1109.4399,1111.1,1102.7,1109.8,4293340000,11/18/09,15.6805,11/18/09,1075.663,1123.2397,1028.0863,11/18/09,118.9749,11/18/09,1083.3423,11/18/09,1102.028,11/18/09,1093.067,11/18/09,11.885,7.671,4.214
11/17/09,1109.22,1110.52,1102.1899,1110.3199,3824070000,11/17/09,16.2405,11/17/09,1074.243,1119.2874,1029.1986,11/17/09,127.0548,11/17/09,1080.5573,11/17/09,1099.77,11/17/09,1086.737,11/17/09,10.9236,6.6174,4.3062
11/16/09,1094.13,1113.6899,1094.13,1109.3,4565850000,11/16/09,16.849,11/16/09,1073.28,1115.9595,1030.6005,11/16/09,128.5187,11/16/09,1077.4244,11/16/09,1096.308,11/16/09,1080.246,11/16/09,9.4848,5.5409,3.9439
11/13/09,1087.59,1097.79,1085.33,1093.48,3792610000,11/13/09,16.5905,11/13/09,1072.7105,1113.7237,1031.6973,11/13/09,81.8194,11/13/09,1074.069,11/13/09,1093.064,11/13/09,1073.604,11/13/09,7.6142,4.5549,3.0592
11/12/09,1098.3101,1101.97,1084.9,1087.24,4160250000,11/12/09,16.9082,11/12/09,1072.4205,1112.921,1031.9201,11/12/09,83.1098,11/12/09,1072.0258,11/12/09,1088.228,11/12/09,1067.875,11/12/09,6.7266,3.7901,2.9365
11/11/09,1096.04,1105.37,1093.8101,1098.51,4286700000,11/11/09,16.8957,11/11/09,1072.8865,1114.2633,1031.5097,11/11/09,118.186,11/11/09,1070.4243,11/11/09,1084.106,11/11/09,1065.762,11/11/09,6.1313,3.056,3.0753
11/10/09,1091.86,1096.42,1087.4,1093.01,4394770000,11/10/09,17.2446,11/10/09,1072.562,1113.2255,1031.8985,11/10/09,101.5693,11/10/09,1067.4679,11/10/09,1073.704,11/10/09,1060.174,11/10/09,4.1347,2.2872,1.8475
11/9/09,1072.3101,1093.1899,1072.3101,1093.08,4460030000,11/9/09,17.8773,11/9/09,1071.571,1111.1443,1031.9977,11/9/09,85.5787,11/9/09,1064.7792,11/9/09,1064.184,11/9/09,1057.214,11/9/09,2.0862,1.8253,0.2609
11/6/09,1064.95,1071.48,1059.3199,1069.3,4277130000,11/6/09,17.4148,11/6/09,1070.7265,1109.1314,1032.3216,11/6/09,9.4015,11/6/09,1061.8002,11/6/09,1054.144,11/6/09,1054.601,11/6/09,-0.5658,1.7601,-2.3259
11/5/09,1047.3,1066.65,1047.3,1066.63,4848350000,11/5/09,17.819,11/5/09,1070.836,1109.2365,1032.4355,11/5/09,-14.8307,11/5/09,1061.0108,11/5/09,1047.522,11/5/09,1055.631,11/5/09,-1.5214,2.3415,-3.8629
11/4/09,1047.14,1061,1045.15,1046.5,5635510000,11/4/09,17.6397,11/4/09,1070.7785,1109.2074,1032.3496,11/4/09,-51.7014,11/4/09,1060.4193,11/4/09,1047.418,11/4/09,1058.259,11/4/09,-2.447,3.3073,-5.7543
11/3/09,1040.92,1046.36,1033.9399,1045.41,5487500000,11/3/09,17.7774,11/3/09,1071.3325,1108.6488,1034.0162,11/3/09,-92.116,11/3/09,1061.8845,11/3/09,1046.644,11/3/09,1061.749,11/3/09,-1.5433,4.7458,-6.2891
11/2/09,1036.1801,1052.1801,1029.38,1042.88,6202640000,11/2/09,18.1895,11/2/09,1071.798,1108.0256,1035.5704,11/2/09,-101.5526,11/2/09,1063.6186,11/2/09,1050.244,11/2/09,1066.314,11/2/09,-0.2563,6.3181,-6.5744
10/30/09,1065.41,1065.41,1033.38,1036.1899,6512420000,10/30/09,17.8348,10/30/09,1071.677,1108.3041,1035.0499,10/30/09,-93.9097,10/30/09,1065.8016,10/30/09,1055.058,10/30/09,1071.817,10/30/09,1.6476,7.9617,-6.3141
10/29/09,1043.6899,1066.83,1043.6899,1066.11,5595040000,10/29/09,16.689,10/29/09,1071.128,1110.1192,1032.1368,10/29/09,-36.3133,10/29/09,1068.9186,10/29/09,1063.74,10/29/09,1076.966,10/29/09,4.7349,9.5402,-4.8053
10/28/09,1061.51,1063.26,1042.1899,1042.63,6600350000,10/28/09,16.1113,10/28/09,1069.315,1112.244,1026.386,10/28/09,-83.9124,10/28/09,1069.2143,10/28/09,1069.1,10/28/09,1080.011,10/28/09,5.5602,10.7415,-5.1813
10/27/09,1067.54,1072.48,1060.62,1063.41,5337380000,10/27/09,15.7183,10/27/09,1070.0375,1111.6108,1028.4642,10/27/09,-9.1138,10/27/09,1072.0126,10/27/09,1076.854,10/27/09,1084.95,10/27/09,8.9234,12.0368,-3.1135
10/26/09,1080.36,1091.75,1065.23,1066.95,6363380000,10/26/09,16.0151,10/26/09,1069.8975,1111.5778,1028.2172,10/26/09,37.297,10/26/09,1072.9182,10/26/09,1082.384,10/26/09,1085.928,10/26/09,10.9704,12.8152,-1.8448
10/23/09,1095.62,1095.83,1075.49,1079.6,4767460000,10/23/09,15.207,10/23/09,1069.699,1111.4713,1027.9267,10/23/09,82.2841,10/23/09,1073.5464,10/23/09,1088.576,10/23/09,1086.852,10/23/09,13.0631,13.2764,-0.2133
10/22/09,1080.96,1095.21,1074.3101,1092.91,5192410000,10/22/09,14.8122,10/22/09,1067.938,1110.8463,1025.0297,10/22/09,105.293,10/22/09,1072.9092,10/22/09,1090.192,10/22/09,1086.041,10/22/09,14.2562,13.3297,0.9265
10/21/09,1090.36,1101.36,1080.77,1081.4,5616290000,10/21/09,14.3439,10/21/09,1065.8315,1107.7544,1023.9085,10/21/09,114.0989,10/21/09,1070.8038,10/21/09,1090.922,10/21/09,1083.298,10/21/09,14.2165,13.0981,1.1184
10/20/09,1098.64,1098.64,1086.16,1091.0601,5396930000,10/20/09,13.8634,10/20/09,1064.805,1106.1543,1023.4557,10/20/09,138.3185,10/20/09,1069.6884,10/20/09,1093.046,10/20/09,1080.916,10/20/09,15.1309,12.8185,2.3124
10/19/09,1088.22,1100.17,1086.48,1097.91,4619240000,10/19/09,13.9698,10/19/09,1063.835,1103.5532,1024.1168,10/19/09,159.1213,10/19/09,1067.4388,10/19/09,1089.472,10/19/09,1077.282,10/19/09,15.0944,12.2404,2.854
10/16/09,1094.67,1094.67,1081.53,1087.6801,4894740000,10/16/09,13.9914,10/16/09,1062.1725,1098.7018,1025.6431,10/16/09,138.1819,10/16/09,1064.2313,10/16/09,1085.128,10/16/09,1071.537,10/16/09,14.1308,11.5269,2.6039
10/15/09,1090.36,1096.5601,1086.41,1096.5601,5369780000,10/15/09,13.9115,10/15/09,1061.2035,1095.9601,1026.4469,10/15/09,162.5589,10/15/09,1061.763,10/15/09,1081.89,10/15/09,1065.29,10/15/09,13.7369,10.8759,2.861
10/14/09,1078.6801,1093.17,1078.6801,1092.02,5406420000,10/14/09,14.2008,10/14/09,1059.65,1090.5049,1028.7951,10/14/09,145.4917,10/14/09,1058.1002,10/14/09,1075.674,10/14/09,1058.619,10/14/09,12.1303,10.1607,1.9696
10/13/09,1074.96,1075.3,1066.71,1073.1899,4320480000,10/13/09,13.7562,10/13/09,1058.487,1085.9396,1031.0343,10/13/09,91.3989,10/13/09,1054.5297,10/13/09,1068.786,10/13/09,1055.125,10/13/09,10.3654,9.6683,0.6971
10/12/09,1071.63,1079.46,1071.63,1076.1899,3710430000,10/12/09,14.0852,10/12/09,1057.459,1084.1619,1030.7561,10/12/09,111.0972,10/12/09,1052.5654,10/12/09,1065.092,10/12/09,1053.867,10/12/09,9.8792,9.494,0.3852
