timestamp,close,open,high,low,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,,WVAD,RSI,,TEDRATE,TradeWeightedUSDollarIndex,VIX close
5/3/16,206.1592,206.52,206.8,205.28,106422142,37.4477,36.5863,207.1676,207.4515,208.2827,2084.601,-80.8285,48.9234,48.9307,0.44,118.578,15.6
5/4/16,205.01,204.99,205.85,204.42,92243810,32.0595,34.9274,206.9621,206.5835,207.7737,2079.473,-90.9231,45.1526,44.9036,0.43,119.2253,16.05
5/5/16,204.97,205.56,205.98,204.47,67619222,16.4333,28.6468,206.7724,206.088,207.3737,2075.388,-91.5385,45.0225,44.7449,0.41,119.4924,15.91
5/6/16,205.72,204.06,205.77,203.88,89315004,22.8223,23.7717,206.6721,205.9658,207.0487,2071.944,-73.8636,48.0447,47.4034,0.39,119.6151,14.72
5/9/16,205.8892,205.57,206.4,205.36,74374922,42.0755,27.1104,206.5976,205.5497,206.7766,2069.034,-71.4602,48.7295,48.0444,0.39,120.2271,14.57
5/10/16,208.45,206.72,208.5,206.64,77472207,70.1722,45.0234,206.774,206.0078,206.7297,2068.303,-28.2575,57.7956,57.3296,0.37,120.1107,13.63
5/11/16,206.5,207.91,208.54,206.5,81726989,74.6497,62.2992,206.7479,206.3058,206.4447,2065.234,-55.8179,50.4761,49.8843,0.36,119.5273,14.69
5/12/16,206.56,207.29,207.4899,205.37,89586308,70.8839,71.9019,206.73,206.6238,206.3559,2064.064,-54.8061,50.683,49.7622,0.35,119.9739,14.41
5/13/16,204.76,206.21,206.86,204.38,96474630,40.9562,62.1633,206.5424,206.4318,206.1988,2062.195,-85.1602,44.6541,43.9623,0.35,120.553,15.04
5/16/16,206.78,204.96,207.34,204.89,77486827,41.4459,51.0953,206.565,206.61,206.0798,2060.718,-51.0961,51.6106,51.0077,0.35,120.4181,14.68
5/17/16,204.8508,206.46,206.8,204.23,114924940,27.0769,36.493,206.4018,205.8902,205.949,2059.102,-83.4898,45.7024,45.0858,0.34,120.3839,15.57
5/18/16,204.91,204.44,206.3,203.63,123493379,35.0858,34.5362,206.2597,205.5722,205.939,2058.753,-73.9308,45.9071,45.2337,0.35,120.8765,15.95
5/19/16,204.2,204.06,204.54,202.78,115430507,26.2352,29.466,206.0635,205.1002,205.862,2057.694,-75.3472,43.7762,42.9814,0.34,121.6216,16.33
5/20/16,205.49,204.92,206.1,204.86,104990408,41.2439,34.1883,206.0089,205.2462,205.839,2057.212,-52.9514,48.4575,47.5333,0.31,121.5605,15.2
5/23/16,205.21,205.51,205.84,204.985,58682576,50.3393,39.2728,205.9328,204.9322,205.7711,2056.147,-57.8125,47.5324,46.1504,0.32,121.6551,15.82
5/24/16,207.87,206.17,208.24,206.14,93537808,71.0337,54.2056,206.1173,205.536,205.7131,2055.314,-11.6319,56.1056,55.3156,0.34,121.6891,14.42
5/25/16,209.28,208.67,209.77,207.8691,79221525,82.2204,67.8645,206.4185,206.41,205.9911,2057.922,-7.01,59.8506,59.182,0.37,121.594,13.9
5/26/16,209.34,209.44,209.71,208.97,55280699,92.4853,81.9131,206.6968,207.438,206.2691,2060.521,-6.1516,60.007,59.0149,0.36,121.2897,13.43
5/27/16,210.24,209.53,210.25,209.47,64211214,94.6808,89.7955,207.0342,208.388,206.8171,2065.766,-0.1339,62.3741,61.4046,0.37,121.4825,13.12
5/31/16,209.84,210.56,210.69,209.18,109879380,90.7904,92.6521,207.3014,209.314,207.1231,2068.795,-10.7459,60.6558,60.5098,0.38,121.8591,14.19
6/1/16,210.27,209.12,210.48,208.89,69936215,88.7466,91.4059,207.5841,209.794,207.665,2074.007,-5.3097,61.8718,61.1967,0.4,121.875,14.2
6/2/16,210.91,209.8,210.93,209.2399,63044749,88.4831,89.34,207.9009,210.12,208.265,2079.77,-0.2454,63.6716,62.9269,0.39,121.8721,13.63
6/3/16,210.28,210.25,210.69,208.86,101757126,84.2433,87.1577,208.1275,210.308,208.873,2085.679,-7.9755,60.6373,59.951,0.38,120.809,13.47
6/6/16,211.35,210.7,211.77,210.51,64887045,84.3952,85.7072,208.4344,210.53,209.459,2091.388,-4.6719,63.7932,63.1023,0.38,120.5756,13.65
6/7/16,211.68,211.525,212.34,211.5,60974761,78.4002,82.3462,208.7435,210.898,210.106,2097.797,-6.9038,64.7324,63.9114,0.42,120.192,14.05
6/8/16,212.37,211.84,212.52,211.6899,66170920,87.501,83.4321,209.0889,211.318,210.556,2102.103,-1.54,66.6786,65.9764,0.41,119.5125,14.08
6/9/16,212.08,211.51,212.22,211.19,73786869,88.3048,84.7353,209.3737,211.552,210.836,2104.597,-5.7441,65.0537,63.9251,0.41,119.9386,14.64
6/10/16,210.07,210.46,210.86,209.43,113829158,68.1973,81.3344,209.4401,211.51,210.909,2105.194,-32.5149,55.042,54.241,0.38,120.4457,17.03
6/13/16,208.4492,209.36,210.37,208.35,117751153,37.023,64.5083,209.3457,210.9298,210.7299,2103.194,-63.8056,48.5531,47.456,0.38,120.8667,20.97
6/14/16,208.04,208,208.74,206.9199,125059286,14.3641,39.8615,209.2213,210.2018,210.5499,2101.031,-79.9986,47.0452,46.0908,0.4,121.3693,20.5
6/15/16,207.75,208.54,209.36,207.53,109124496,12.6808,21.356,209.0812,209.2778,210.2979,2098.248,-85.1771,45.9559,44.6771,0.38,121.1161,20.14
6/16/16,208.37,206.73,208.57,205.59,149533065,29.4716,18.8388,209.0135,208.5358,210.0439,2095.521,-59.8846,48.6912,47.6168,0.38,121.576,19.37
6/17/16,206.52,207.17,207.2,205.75,117055748,29.2898,23.8141,208.776,207.8258,209.6679,2092.73,-86.5801,41.8799,44.9345,0.37,120.8906,19.41
6/20/16,207.85,208.82,209.61,207.75,82789603,42.8088,33.8567,208.6878,207.706,209.3179,2090.114,-67.3882,47.5594,50.2928,0.37,120.2313,18.37
6/21/16,208.44,208.3,208.92,207.78,72461663,48.8568,40.3185,208.6642,207.786,208.9939,2087.791,-58.8745,49.8984,52.6244,0.37,120.3712,18.48
6/22/16,208.1,208.65,209.5,207.93,95560471,63.1841,51.6166,208.6105,207.856,208.5669,2084.424,-63.7807,48.5544,51.0498,0.34,120.1139,21.17
