timestamp,close,open,high,low,volume,ATR,Boll Mid Band,Boll Upper Band,Boll Lower Band,CCI ,EMA20,MA5,MA10,MACD Value,MACD Signal,MACD Hist,MOM 6,MOM12,ROC,SlowK,SlowD,WVAD,TNX close
8/28/15,1988.87,1986.0601,1993.48,1975.1899,3949080000,36.4521,2043.2505,2188.5989,1897.9022,-107.6126,2023.3042,1935.572,1996.345,-37.8723,-27.2362,-10.6361,-115.63,-7.87,-5.4944,67.879,39.7322,-48.4649,2.186
8/27/15,1987.66,1942.77,1989.6,1942.77,5006390000,37.8492,2048.999,2194.3838,1903.6142,-141.0111,2026.9288,1931.976,2006.612,-39.9914,-24.5772,-15.4142,-123.08,-12.46,-5.8311,35.848,18.366,-49.379,2.168
8/26/15,1940.51,1872.75,1943.09,1872.75,5338250000,36.9845,2055.0475,2199.7855,1910.3096,-254.3577,2031.0624,1941.59,2016.185,-41.9912,-20.7237,-21.2675,-173.3501,-59.51,-8.2006,15.4696,7.6478,-69.1617,2.172
8/25/15,1867.61,1898.08,1948.04,1867.08,5183560000,34.0233,2063.4505,2199.8902,1927.0108,-376.5801,2040.5942,1969.41,2030.739,-39.1321,-15.4068,-23.7253,-247.87,-130.3101,-11.717,3.7806,5.5542,-99.7483,2.133
8/24/15,1893.21,1965.15,1965.15,1867.01,6612690000,30.4128,2074.7325,2177.7547,1971.7104,-499.6265,2058.803,2015.272,2052.385,-27.4912,-9.4754,-18.0158,-216.45,-95.1901,-10.2599,3.6934,17.0514,-89.3344,1.997
8/21/15,1970.89,2034.08,2034.08,1970.89,5018240000,24.7614,2083.454,2144.5218,2022.3862,-405.9812,2076.2339,2057.118,2073.482,-14.8399,-4.9715,-9.8683,-139.41,-21.48,-6.6062,9.1885,39.5948,-100,2.054
8/20/15,2035.73,2076.6101,2076.6101,2035.73,3922470000,21.6785,2088.892,2121.7516,2056.0324,-224.9481,2087.3227,2081.248,2084.15,-6.3855,-2.5044,-3.8811,-61.72,49.22,-2.9426,38.2724,65.4736,-100,2.084
8/19/15,2079.6101,2095.6899,2096.1699,2070.53,3512920000,19.9707,2092.213,2114.6975,2069.7285,-68.5612,2092.7535,2090.78,2088.933,-2.1037,-1.5341,-0.5695,-20.0698,98.0101,-0.9559,71.3234,78.4929,-55.7199,2.129
8/18/15,2096.9199,2101.99,2103.47,2094.1399,2949990000,19.4769,2093.94,2117.5642,2070.3158,14.7629,2094.1371,2092.068,2090.956,-1.0757,-1.3918,0.316,-3.4202,125.1799,-0.1628,86.825,76.563,-27.8682,2.196
8/17/15,2102.4399,2089.7,2102.8701,2079.3,2867690000,20.2574,2095.0545,2121.1135,2068.9955,3.5441,2093.8441,2089.498,2090.596,-1.5105,-1.4708,-0.0397,5.45,147.3799,0.2599,77.3304,65.2483,-18.9864,2.15
8/14/15,2091.54,2083.1499,2092.45,2080.6101,2795590000,20.0026,2096.3465,2126.0496,2066.6434,-20.9814,2092.9393,2089.846,2090.156,-2.6055,-1.4608,-1.1446,3.0601,136.36,0.1465,65.5337,59.5743,-36.5245,2.196
8/13/15,2083.3899,2086.1899,2092.9299,2078.26,3221300000,20.6305,2098.1015,2130.4877,2065.7152,-32.754,2093.0866,2087.052,2091.386,-2.8553,-1.1747,-1.6806,14.8599,136.6699,0.7184,52.8809,53.1463,-49.6382,2.189
8/12/15,2086.05,2081.1001,2089.0601,2052.0901,4269130000,21.089,2100.1465,2133.7028,2066.5902,-67.6046,2094.1073,2087.086,2093.91,-2.3029,-0.7545,-1.5484,17.46,152.3,0.8441,60.3083,49.2284,-45.358,2.13
8/11/15,2084.0701,2102.6599,2102.6599,2076.49,3708880000,19.8674,2101.214,2134.2631,2068.1649,-17.3888,2094.9554,2089.844,2096.162,-1.8352,-0.3674,-1.4677,37.3301,147.15,1.8239,46.2498,38.9989,-61.4808,2.137
8/10/15,2104.1799,2080.98,2105.3501,2080.98,3514460000,19.2656,2102.458,2134.6953,2070.2207,19.8497,2096.1013,2091.694,2097.08,-1.0099,-0.0005,-1.0094,48.71,172.59,2.3698,41.1271,33.5367,-26.0594,2.238
8/7/15,2077.5701,2082.6101,2082.6101,2067.9099,3602320000,18.6107,2102.229,2134.4791,2069.9788,-59.2321,2095.2509,2090.4661,2093.426,-1.9893,0.2518,-2.2412,15.05,168.0001,0.7297,29.6198,34.6016,-78.3746,2.175
8/6/15,2083.5601,2100.75,2103.3201,2075.53,4246570000,18.8384,2102.1815,2134.5792,2069.7838,-20.2331,2097.112,2095.7201,2093.634,-0.5012,0.8121,-1.3133,42.05,163.3201,2.0598,29.8632,43.1652,-71.0822,2.234
8/5/15,2099.8401,2095.27,2112.6599,2095.27,3968680000,18.1498,2100.569,2139.1364,2062.0016,33.1026,2098.5385,2100.734,2095.493,0.7956,1.1405,-0.3449,49.8101,179.6301,2.4297,44.3217,59.8142,-47.5901,2.268
8/4/15,2093.3201,2097.6799,2102.51,2088.6001,3546710000,18.0583,2097.911,2143.076,2052.746,1.4681,2098.4015,2102.48,2096.924,0.7816,1.2267,-0.4451,72.4701,154.3301,3.5861,55.3108,73.9017,-56.9985,2.211
8/3/15,2098.04,2104.49,2105.7,2087.3101,3476770000,18.3774,2097.312,2143.0192,2051.6048,5.9237,2098.9364,2102.466,2099.513,1.4163,1.3379,0.0783,103.05,172.89,5.1654,79.8101,81.5006,-50.1876,2.15
7/31/15,2103.8401,2111.6001,2114.24,2102.0701,3681340000,18.3764,2095.848,2143.2137,2048.4823,36.5518,2099.0308,2096.386,2102.537,1.7251,1.3184,0.4067,82.5901,173.17,4.0861,86.5843,70.9914,-41.8181,2.205
7/30/15,2108.6299,2106.78,2110.48,2094.97,3579410000,18.8539,2094.495,2142.413,2046.577,28.2437,2098.5245,2091.5479,2104.8169,1.5037,1.2167,0.287,106.4698,138.5599,5.3177,78.1073,49.3521,-34.9064,2.268
7/29/15,2108.5701,2094.7,2110.6001,2094.0801,4038900000,19.1111,2092.9345,2140.9422,2044.9267,28.2328,2097.4608,2090.252,2106.383,0.7115,1.1449,-0.4335,79.02,138.6201,3.8935,48.2826,25.6752,-30.2822,2.279
7/28/15,2093.25,2070.75,2095.6001,2069.0901,4117740000,19.2465,2090.6615,2139.7846,2041.5384,-32.2699,2096.2914,2091.3679,2106.2659,-0.3039,1.2533,-1.5572,36.1599,114.34,1.7578,21.6663,13.2558,-47.6231,2.25
7/27/15,2067.6399,2078.1899,2078.1899,2063.52,3836750000,18.5762,2088.881,2140.039,2037.7229,-85.9414,2096.6116,2096.5599,2107.8359,-0.0356,1.6426,-1.6782,15.8198,89.2999,0.771,7.0766,15.3235,-73.9339,2.228
7/24/15,2079.6499,2102.24,2106.01,2077.0901,3870040000,18.7644,2090.5735,2141.0438,2040.1032,-30.87,2099.6612,2108.6879,2111.032,2.9149,2.0622,0.8527,16.5,91.6699,0.7997,11.0247,30.7652,-59.8763,2.271
7/23/15,2102.1499,2114.1599,2116.8701,2098.6299,3772810000,17.9832,2091.7065,2142.1624,2041.2506,30.6669,2101.7677,2118.0859,2110.729,5.4156,1.849,3.5666,70.0299,115.1399,3.4462,27.8691,53.4655,-34.5385,2.277
7/22/15,2114.1499,2118.21,2118.51,2110,3694070000,17.9635,2092.028,2142.8268,2041.2292,61.4312,2101.7275,2122.514,2105.645,6.2377,0.9573,5.2804,91.5999,130.6199,4.5289,53.4019,75.5167,-21.025,2.322
7/21/15,2119.21,2127.55,2128.49,2115.3999,3343690000,18.6368,2092.5305,2144.3826,2040.6784,88.922,2100.4198,2121.164,2098.898,5.9745,-0.3628,6.3373,99.7899,145.58,4.9415,79.1254,89.3506,-15.3267,2.34
7/20/15,2128.28,2126.8501,2132.8201,2123.6599,3245870000,19.0635,2092.7125,2144.9619,2040.4631,120.9599,2098.4419,2119.112,2095.111,5.0364,-1.9471,6.9836,135.61,150.0601,6.8054,94.0228,94.6258,-5.1127,2.372
7/17/15,2126.6399,2126.8,2128.9099,2119.8799,3362750000,19.8253,2091.798,2142.1304,2041.4656,120.989,2095.3011,2113.376,2089.159,2.8424,-3.693,6.5354,115.3699,168.5199,5.7362,94.9035,94.7456,-2.6741,2.349
7/16/15,2124.29,2110.55,2124.4199,2110.55,3227080000,20.6557,2091.528,2141.163,2041.893,108.0234,2092.0022,2103.372,2084.173,0.1676,-5.3268,5.4944,101.26,142.7201,5.0054,94.9512,93.7428,-0.1615,2.352
7/15/15,2107.3999,2109.01,2114.1399,2102.49,3261810000,20.9353,2090.3355,2137.8661,2042.8049,62.5856,2088.6035,2088.776,2079.486,-3.0096,-6.7005,3.6908,79.1399,134.1199,3.9019,94.3821,84.0868,-11.9969,2.35
7/14/15,2108.95,2099.72,2111.98,2098.1799,3002120000,21.6496,2089.78,2136.7564,2042.8037,55.8604,2086.625,2076.6321,2075.057,-5.3013,-7.6232,2.3218,64.1399,131.85,3.1367,91.8951,64.4394,-19.9188,2.399
