timestamp,close,open,high,low,EMA20,MA5,MA10,SlowK,SlowD,WVAD
8/1/17,2476.3501,2477.1001,2478.51,2471.1399,2460.7022,2474.4,2473.886,53.8646,56.7604,-18.158
8/2/17,2477.5701,2480.3799,2480.3799,2466.48,2462.3087,2474.348,2474.26,61.4271,55.9568,-17.3225
8/3/17,2472.1599,2476.03,2476.03,2468.8501,2463.2469,2473.696,2474.131,62.9933,59.4283,-35.2527
8/4/17,2476.8301,2476.8799,2480,2472.0801,2464.5405,2474.642,2474.56,65.1122,63.1775,-21.3946
8/7/17,2480.9099,2477.1399,2480.95,2475.8799,2466.0995,2476.764,2475.66,73.965,67.3568,-12.9826
8/8/17,2474.9199,2478.3501,2490.8701,2470.3201,2466.9396,2476.478,2475.439,69.5963,69.5578,-51.5517
8/9/17,2474.02,2465.3501,2474.4099,2462.0801,2467.6139,2475.768,2475.058,58.5999,67.3871,-54.4602
8/10/17,2438.21,2465.3799,2465.3799,2437.75,2464.8135,2468.978,2471.337,25.6474,51.2812,-99.1341
8/11/17,2441.3201,2441.04,2448.0901,2437.8501,2462.576,2461.876,2468.259,16.353,33.5335,-93.2793
8/14/17,2465.8401,2454.96,2468.22,2454.96,2462.8869,2458.862,2467.813,20.1557,20.7187,-47.1197
8/15/17,2464.6101,2468.6599,2468.8999,2461.6101,2463.051,2456.8,2466.639,44.2898,26.9328,-49.4352
8/16/17,2468.1101,2468.6299,2474.9299,2463.8601,2463.5328,2455.6181,2465.693,69.2686,44.5714,-42.8463
8/17/17,2430.01,2462.95,2465.02,2430.01,2460.3402,2453.9781,2461.478,51.6419,55.0668,-100
8/18/17,2425.55,2427.6399,2440.27,2420.6899,2457.0268,2450.8241,2456.35,30.2059,50.3721,-93.0748
8/21/17,2428.3701,2425.5,2430.5801,2417.3501,2454.2976,2443.3301,2451.096,9.3664,30.4047,-85.0109
8/22/17,2452.51,2433.75,2454.77,2433.6699,2454.1274,2440.9101,2448.8551,29.7206,23.0976,-52.1764
8/23/17,2444.04,2444.8799,2448.9099,2441.4199,2453.1667,2436.096,2445.8571,45.3969,28.1613,-63.697
8/24/17,2438.97,2447.9099,2450.3899,2436.1899,2451.8146,2437.888,2445.9331,58.2761,44.4645,-70.5932
8/25/17,2443.05,2444.72,2453.96,2442.22,2450.9799,2441.388,2446.1061,60.8151,54.8294,-65.0436
8/28/17,2444.24,2447.3501,2449.1201,2439.03,2450.338,2444.562,2443.946,58.8504,59.3139,-53.2998
8/29/17,2446.3,2431.9399,2449.1899,2428.2,2449.9534,2443.32,2442.115,63.013,60.8928,-49.7221
8/30/17,2457.5901,2446.0601,2460.3101,2443.77,2450.6807,2446.03,2441.063,70.6295,64.1643,-30.1144
8/31/17,2471.6499,2462.6499,2475.01,2462.6499,2452.6778,2452.566,2445.227,84.8718,72.8381,-5.8275
9/1/17,2476.55,2474.4199,2480.3799,2473.8501,2454.9513,2459.266,2450.327,92.3371,82.6128,-6.0762
9/5/17,2457.8501,2470.3501,2471.97,2446.55,2455.2274,2461.988,2453.275,80.7683,85.9924,-35.7447
9/6/17,2465.54,2463.8301,2469.6399,2459.2,2456.2096,2465.836,2454.578,69.6494,80.9183,-23.5442
9/7/17,2465.1001,2468.0601,2468.6201,2460.29,2457.0563,2467.338,2456.684,57.0404,69.1527,-24.2422
9/8/17,2461.4299,2462.25,2467.1101,2459.3999,2457.4728,2465.294,2458.93,52.7609,59.8169,-30.0651
9/11/17,2488.1101,2474.52,2488.95,2474.52,2460.3907,2467.6061,2463.436,65.6124,58.4712,-1.3825
9/12/17,2496.48,2491.9399,2496.77,2490.3701,2463.8277,2475.332,2468.66,80.4106,66.2613,-0.423
9/13/17,2498.3701,2493.8899,2498.3701,2492.1399,2467.1175,2481.898,2473.867,99.0824,81.7018,0
9/14/17,2495.6201,2494.5601,2498.4299,2491.3501,2469.832,2488.0021,2477.67,97.343,92.2787,-4.0009
9/15/17,2500.23,2495.6699,2500.23,2493.1599,2472.7271,2495.7621,2480.5281,97.6003,98.0086,0
9/18/17,2503.8701,2502.51,2508.3201,2499.9199,2475.6931,2498.9141,2483.2601,89.3367,94.76,-5.5541
9/19/17,2506.6499,2506.29,2507.8401,2503.1899,2478.6413,2500.948,2488.14,88.4557,91.7976,-2.5874
9/20/17,2508.24,2506.8401,2508.8501,2496.6699,2481.4603,2502.922,2492.41,87.2936,88.362,-0.9793
9/21/17,2500.6001,2507.1599,2507.1599,2499,2483.2831,2503.918,2495.96,78.0304,84.5933,-13.2424
9/22/17,2502.22,2497.26,2503.47,2496.54,2485.0866,2504.316,2500.039,63.3579,76.2273,-10.6423
9/25/17,2496.6599,2499.3899,2502.54,2488.03,2486.1888,2502.874,2500.894,45.0033,62.1305,-24.5522
9/26/17,2496.8401,2501.04,2503.51,2495.1201,2487.2032,2500.912,2500.93,43.3019,50.5543,-24.2871
9/27/17,2507.04,2503.3,2511.75,2495.9099,2489.0925,2500.672,2501.797,54.6362,47.6471,-8.997
