Close Price,0,1,2,3,4,5,6
696.33,-286364.4226,-785065.6455,3754211.222,-51356534.99,-64518806.89,-65149855.64,-65987850.35
712.87,-300575.8151,-821123.3191,3925946.044,-53806583.12,-67597892.24,-68258721.64,-69136033.41
682.55,-309957.8354,-842643.5372,4027974.563,-55348564.7,-69536691.23,-70215994.82,-71117509.03
683.38,-271967.6454,-746963.5457,3572462.226,-48824488.12,-61337311,-61937397.97,-62734372.24
676.53,-290492.1986,-792214.4967,3787610.93,-51959666.22,-65278139.69,-65916127.95,-66763002.47
719.6,-238215.2483,-676004.9603,3235785.917,-43450268.79,-54577145.12,-55113693.87,-55828016.89
721.36,-219735.3953,-617603.3797,2957848.057,-39944486.44,-50176245.93,-50668754.14,-51323904.33
750.74,-196792.8854,-561354.4788,2690632.96,-36061197.23,-45295185.42,-45740714.85,-46333990.11
756.55,-234041.6431,-648339.2519,3104613.897,-42261931.75,-53091130.48,-53611107.88,-54302028.97
753.89,-255451.4859,-711867.8717,3407385.69,-46217104.1,-58057841.67,-58627027.92,-59383723.94
778.12,-144782.5483,-421648.0513,2026201.562,-26898287.73,-33783209.4,-34116388.11,-34560595.04
794.35,-119538.378,-387691.6043,1866274.379,-23438542,-29422465.59,-29717269.29,-30113388.26
784.04,-179281.3751,-534803.8339,2566237.272,-33594225.38,-42187402.71,-42605113.49,-43163145.58
768.54,-229165.9832,-644666.1455,3088025.511,-41687589.39,-52365700.28,-52879755.98,-53563578.9
822.92,-95869.46899,-315922.623,1524638.478,-19031224.66,-23888658.46,-24128444.18,-24450871.42
806.12,-135068.7583,-403775.837,1942500.088,-25447409.52,-31957079.17,-32273430.83,-32695956.57
813.88,-94853.6625,-313190.626,1511870.463,-18857347.4,-23670226.65,-23907873.4,-24227457.02
832.86,-9184.074924,-94760.25087,472699.115,-4086970.204,-5108225.179,-5166173.006,-5248366.063
815.94,-2258.554647,-64200.74009,326709.6209,-2515957.549,-3139393.795,-3176650.929,-3230399.058
787.53,-110286.8042,-334171.2213,1610672.069,-20978359.01,-26343470.58,-26604671.47,-26953813.41
797.87,-72054.8864,-241340.2956,1169050.317,-14518214.88,-18222979.91,-18406160.7,-18652636.02
811.08,-10304.89251,-88169.41937,440487.2391,-3994758.81,-4996291.536,-5051970.296,-5130372.312
834.38,116198.4639,209919.118,-976533.8535,17101932.37,21526380.53,21724376.46,21978983.43
842.5,211517.0016,461786.2126,-2175202.172,33794322.07,42500041.98,42902197.28,43427276.24
835.48,230278.4624,504774.9467,-2379614.307,36890501.36,46393094.7,46832320.27,47405952.91
815.55,144261.5756,302333.7447,-1417178.345,22550438.73,28364706.61,28631536.17,28978880.96
825.16,240388.86,532483.9906,-2511884.129,38698619.77,48664587.6,49126039.84,49729181.95
856.56,311354.2619,691784.2978,-3268576.226,50298205.43,63250980.06,63850909.14,64635136.17
858.73,330931.1294,751344.8258,-3552113.939,53948707.83,67834468.72,68479997.56,69325304.01
841.5,186411.6243,383137.0796,-1800104.246,29032682.24,36522246.24,36864692.16,37309623.6
852.06,218800.2832,476045.9104,-2242695.294,34921542.67,43918426.57,44333771.09,44875905.25
865.3,192534.4835,407574.7905,-1916468.482,30339881.78,38161213.85,38520642.04,38988797.29
869.6,198566.861,415185.9021,-1952221.944,31150574.87,39183302.95,39551648.15,40030913.37
832.39,140718.7747,275898.5029,-1290087.543,21419416.02,26950661.85,27201621.27,27526504.51
850.08,145391.3862,283055.2076,-1324169.603,22092223.91,27798226.35,28056782.14,28391282.72
843.55,92351.67949,152925.6103,-705000.383,13089004.9,16481637.45,16631296.08,16822378.61
851.92,164870.3563,339595.5916,-1593354.478,25648663.29,32264690.49,32567357.78,32960729.32
866.23,282515.3968,625069.5359,-2950987.591,45513155.91,57234640.27,57777201.17,58486243.74
857.51,189116.346,408611.8257,-1921800.378,30033574.89,37772146.7,38129046.6,38594695.3
855.16,238880.3514,524803.9996,-2474407.601,38309157.99,48176680.76,48632947.48,49228927.25
873.64,260450.5193,580234.5397,-2737950.695,42036232.47,52860295.83,53361964.86,54017969.96
872.81,182700.1898,380619.5216,-1787788.48,28580831.15,35951362.13,36289175.97,36728610.86
877.52,238840.0348,534374.2276,-2519897.522,38573415.6,48504606.03,48965282.45,49567941.79
907.24,344122.1184,777919.9611,-3677433.107,55999310.59,70414352.01,71083987.92,71960551.32
903.8,309487.3316,693740.8216,-3276799.104,50140349.9,63049585.52,63648456.22,64431897.13
919.53,342984.1787,760410.4787,-3593117.401,55369393.26,69628884.05,70289073.47,71151916.99
907.39,265507.3232,563395.0385,-2655538.506,42019492.27,52851748.54,53349599.4,53998026.16
929.23,308364.5375,678549.3866,-3203626.004,49580082.33,62350674.35,62941222.97,63712628.28
909.24,262131.6228,583659.9095,-2753084.902,42276111.78,53161980.75,53666487,54326207.15
908.35,301392.8189,673822.0312,-3181895.723,48762406.2,61317596.32,61899790.97,62661273.99
883.92,209851.5627,445453.3006,-2095673.646,33126354.12,41665571.13,42058154.08,42569576.28
893.07,171742.4269,360480.6188,-1691914.674,26910297.6,33848645.03,34167094.81,34581639.67
882.88,130743.3248,265818.1598,-1241866.005,20126094.44,25318708.06,25555835.85,25863796.07
909.71,242954.8899,540659.2229,-2549062.734,39147952.6,49228352.48,49695515.92,50306401.16
